,Repeat,agent,opponent,episode,num_actions,episode_reward,cumulative_reward,time_per_episode,action_history,q_total,q_mean
0,2,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,0,19,-0.02000000000000001,-0.02000000000000001,0.0498654842376709,"['open kitchen cupboard', 'examine kitchen cupboard', 'examine oven', 'examine toaster', 'open fridge', 'examine cutlery drawer', 'examine dining chair', 'examine cookbook', 'look around', 'examine dishwasher', 'open dishwasher', 'close kitchen cupboard', 'examine trash can', 'examine knife', 'close dishwasher', 'inventory', 'inventory', 'close fridge', 'read cookbook', 'examine oven']",-0.002009000000000001,-0.00010045000000000004
1,2,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,1,19,-0.02000000000000001,-0.04000000000000002,0.04687333106994629,"['examine dining chair', 'inventory', 'open dishwasher', 'inventory', 'inventory', 'close dishwasher', 'examine stove', 'examine cookbook', 'look around', 'examine counter', 'read cookbook', 'examine oven', 'examine cutlery drawer', 'inventory', 'examine toaster', 'examine counter', 'examine counter', 'open trash can', 'close trash can', 'examine cookbook']",-0.004113892900000002,-0.00011118629459459464
2,2,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,2,19,-0.02000000000000001,-0.06000000000000003,0.03989267349243164,"['take knife', 'read cookbook', 'put knife in counter', 'take cookbook', 'examine dishwasher', 'examine knife', 'open trash can', 'close trash can', 'examine dishwasher', 'take knife', 'examine cutlery drawer', 'inventory', 'inventory', 'put cookbook in counter', 'read cookbook', 'put knife in counter', 'examine kitchen cupboard', 'open cutlery drawer', 'open fridge', 'take knife']",-0.006204658410000002,-0.0001149010816666667
3,2,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,3,19,-0.02000000000000001,-0.08000000000000004,0.04487895965576172,"['open dishwasher', 'examine oven', 'open trash can', 'examine counter', 'close dishwasher', 'examine counter', 'take knife', 'examine toaster', 'examine toaster', 'inventory', 'look around', 'put knife in counter', 'open cutlery drawer', 'examine oven', 'close trash can', 'open kitchen cupboard', 'take cookbook', 'open trash can', 'open dishwasher', 'examine cutlery drawer']",-0.00836175692,-0.00011299671513513512
4,2,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,4,12,0.238,0.15799999999999995,0.028922557830810547,"['open trash can', 'examine counter', 'examine oven', 'read cookbook', 'examine trash can', 'open fridge', 'examine oven', 'examine kitchen cupboard', 'examine kitchen cupboard', 'look around', 'read cookbook', 'take chicken wing', 'cook chicken wing in stove']",0.015367423080000005,0.00017869096604651168
5,2,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,5,19,-0.02000000000000001,0.13799999999999993,0.08078336715698242,"['open trash can', 'examine kitchen cupboard', 'open dishwasher', 'open cutlery drawer', 'examine oven', 'open fridge', 'examine dishwasher', 'open kitchen cupboard', 'take cookbook', 'put cookbook in kitchen cupboard', 'close dishwasher', 'take knife', 'examine cutlery drawer', 'open dishwasher', 'inventory', 'examine chicken wing', 'examine stove', 'put knife in counter', 'look around', 'close kitchen cupboard']",0.013283035080000009,0.00013151519881188128
6,2,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,6,19,-0.02000000000000001,0.11799999999999991,0.05285763740539551,"['open trash can', 'take knife', 'examine kitchen cupboard', 'close trash can', 'take cookbook', 'open kitchen cupboard', 'examine oven', 'put knife in kitchen cupboard', 'put cookbook in dining chair', 'examine kitchen cupboard', 'examine trash can', 'examine trash can', 'examine dishwasher', 'examine trash can', 'examine cookbook', 'examine toaster', 'open fridge', 'take cookbook', 'examine oven', 'open trash can']",0.011170363831000013,9.466410026271198e-05
7,2,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,7,19,-0.02000000000000001,0.09799999999999989,0.05086183547973633,"['examine cutlery drawer', 'open dishwasher', 'inventory', 'examine toaster', 'examine cookbook', 'open kitchen cupboard', 'inventory', 'examine cutlery drawer', 'look around', 'examine toaster', 'close dishwasher', 'examine kitchen cupboard', 'examine counter', 'examine toaster', 'open trash can', 'open dishwasher', 'open cutlery drawer', 'examine trash can', 'examine cutlery drawer', 'close cutlery drawer']",0.009057804831000016,6.759555844029863e-05
8,2,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,8,19,-0.02000000000000001,0.07799999999999987,0.05585145950317383,"['examine fridge', 'take cookbook', 'examine fridge', 'examine oven', 'examine stove', 'examine trash can', 'open cutlery drawer', 'examine cookbook', 'look around', 'open dishwasher', 'examine fridge', 'examine kitchen cupboard', 'open fridge', 'put cookbook in cutlery drawer', 'examine cutlery drawer', 'examine fridge', 'take cookbook', 'put cookbook in dishwasher', 'close cutlery drawer', 'examine dining chair']",0.006955754831000018,4.5462449875817106e-05
9,2,"Qlearntab_Language_{'alpha': 0.1, 'gamma': 0.9, 'epsilon': 0.2, 'epsilon_step': 0}",,9,19,-0.02000000000000001,0.057999999999999864,0.0528569221496582,"['examine toaster', 'read cookbook', 'inventory', 'open cutlery drawer', 'open kitchen cupboard', 'examine cutlery drawer', 'examine dining chair', 'take cookbook', 'look around', 'look around', 'examine kitchen cupboard', 'examine counter', 'put cookbook in cutlery drawer', 'take cookbook', 'examine cookbook', 'take knife', 'open fridge', 'put knife in fridge', 'close cutlery drawer', 'open trash can']",0.007077604831000021,4.114886529651175e-05
